overall_rank,overall_score,overall_raw_score,top_marks_rank,top_marks_score,top_marks_raw_score,enjoyment_rank,enjoyment_score,enjoyment_raw_score,creativity_rank,creativity_score,creativity_raw_score,presentation_rank,presentation_score,presentation_raw_score
#5345,1.673,2.800,n/a,n/a,n/a,#4806,1.793,3.000,#5733,1.434,2.400,#5048,1.793,3.000
#5345,1.673,2.800,n/a,n/a,n/a,#5295,1.554,2.600,#5206,1.793,3.000,#5295,1.673,2.800
#5345,1.673,2.800,n/a,n/a,n/a,#5080,1.673,2.800,#5206,1.793,3.000,#5497,1.554,2.600
#5353,1.673,2.556,n/a,n/a,n/a,#5326,1.528,2.333,#4578,2.073,3.167,#5691,1.418,2.167
#5353,1.673,2.556,n/a,n/a,n/a,#5326,1.528,2.333,#5430,1.637,2.500,#4895,1.855,2.833
#5353,1.673,2.556,n/a,n/a,n/a,#5100,1.637,2.500,#4798,1.964,3.000,#5691,1.418,2.167
#5353,1.673,2.556,n/a,n/a,n/a,#4866,1.746,2.667,#5430,1.637,2.500,#5308,1.637,2.500
#5353,1.673,2.556,n/a,n/a,n/a,#4866,1.746,2.667,#5430,1.637,2.500,#5308,1.637,2.500
#5353,1.673,2.556,n/a,n/a,n/a,#5326,1.528,2.333,#5030,1.855,2.833,#5308,1.637,2.500
#5353,1.673,2.556,n/a,n/a,n/a,#4624,1.855,2.833,#5608,1.528,2.333,#5308,1.637,2.500
#5353,1.673,2.556,n/a,n/a,n/a,#5100,1.637,2.500,#5248,1.746,2.667,#5308,1.637,2.500
#5353,1.673,2.556,n/a,n/a,n/a,#4866,1.746,2.667,#5430,1.637,2.500,#5308,1.637,2.500
#5353,1.673,2.556,n/a,n/a,n/a,#5326,1.528,2.333,#5030,1.855,2.833,#5308,1.637,2.500
#5353,1.673,2.556,n/a,n/a,n/a,#5947,1.091,1.667,#4096,2.291,3.500,#5308,1.637,2.500
#5353,1.673,2.556,n/a,n/a,n/a,#5100,1.637,2.500,#5248,1.746,2.667,#5308,1.637,2.500
#5353,1.673,2.556,n/a,n/a,n/a,#5326,1.528,2.333,#5030,1.855,2.833,#5308,1.637,2.500
#5353,1.673,2.556,n/a,n/a,n/a,#5511,1.418,2.167,#4798,1.964,3.000,#5308,1.637,2.500
#5367,1.673,2.556,n/a,n/a,n/a,#5731,1.309,2.000,#4330,2.182,3.333,#5527,1.528,2.333
#5367,1.673,2.556,n/a,n/a,n/a,#5947,1.091,1.667,#4798,1.964,3.000,#4677,1.964,3.000
#5367,1.673,2.556,n/a,n/a,n/a,#5326,1.528,2.333,#4798,1.964,3.000,#5527,1.528,2.333
#5367,1.673,2.556,n/a,n/a,n/a,#5847,1.200,1.833,#5030,1.855,2.833,#4677,1.964,3.000
#5367,1.673,2.556,n/a,n/a,n/a,#5100,1.637,2.500,#5430,1.637,2.500,#5106,1.746,2.667
#5367,1.673,2.556,n/a,n/a,n/a,#5326,1.528,2.333,#4798,1.964,3.000,#5527,1.528,2.333
#5367,1.673,2.556,n/a,n/a,n/a,#4354,1.964,3.000,#5898,1.309,2.000,#5106,1.746,2.667
#5367,1.673,2.556,n/a,n/a,n/a,#4866,1.746,2.667,#5608,1.528,2.333,#5106,1.746,2.667
#5367,1.673,2.556,n/a,n/a,n/a,#5326,1.528,2.333,#4798,1.964,3.000,#5527,1.528,2.333
#5367,1.673,2.556,n/a,n/a,n/a,#5326,1.528,2.333,#5248,1.746,2.667,#5106,1.746,2.667
#5367,1.673,2.556,n/a,n/a,n/a,#5731,1.309,2.000,#5608,1.528,2.333,#4185,2.182,3.333
#5367,1.673,2.556,n/a,n/a,n/a,#5326,1.528,2.333,#5248,1.746,2.667,#5106,1.746,2.667
#5379,1.672,1.806,n/a,n/a,n/a,#4467,1.929,2.083,#5598,1.543,1.667,#5505,1.543,1.667
#5380,1.672,1.806,n/a,n/a,n/a,#5304,1.543,1.667,#5393,1.697,1.833,#5080,1.774,1.917
#5381,1.669,2.208,n/a,n/a,n/a,#5668,1.323,1.750,#4385,2.173,2.875,#5632,1.512,2.000
#5382,1.669,2.208,n/a,n/a,n/a,#4784,1.795,2.375,#5703,1.512,2.000,#5244,1.701,2.250
#5382,1.669,2.208,n/a,n/a,n/a,#5443,1.512,2.000,#5377,1.701,2.250,#5030,1.795,2.375
#5382,1.669,2.208,n/a,n/a,n/a,#5574,1.417,1.875,#5703,1.512,2.000,#4420,2.079,2.750
#5386,1.667,1.667,n/a,n/a,n/a,#5495,1.435,1.435,#4544,2.087,2.087,#5655,1.478,1.478
#5387,1.665,1.879,n/a,n/a,n/a,#5057,1.692,1.909,#5235,1.773,2.000,#5517,1.531,1.727
#5388,1.655,1.718,n/a,n/a,n/a,#5161,1.631,1.692,#5584,1.557,1.615,#5069,1.779,1.846
#5390,1.650,2.333,n/a,n/a,n/a,#4493,1.919,2.714,#5661,1.515,2.143,#5584,1.515,2.143
#5390,1.650,2.333,n/a,n/a,n/a,#5392,1.515,2.143,#5661,1.515,2.143,#4796,1.919,2.714
#5390,1.650,2.333,n/a,n/a,n/a,#5392,1.515,2.143,#5661,1.515,2.143,#4796,1.919,2.714
#5390,1.650,2.333,n/a,n/a,n/a,#5176,1.616,2.286,#5123,1.818,2.571,#5584,1.515,2.143
#5390,1.650,2.333,n/a,n/a,n/a,#5595,1.414,2.000,#4688,2.020,2.857,#5584,1.515,2.143
#5395,1.650,2.333,n/a,n/a,n/a,#5176,1.616,2.286,#5500,1.616,2.286,#5184,1.717,2.429
#5395,1.650,2.333,n/a,n/a,n/a,#5176,1.616,2.286,#5323,1.717,2.429,#5402,1.616,2.286
#5395,1.650,2.333,n/a,n/a,n/a,#5686,1.313,1.857,#4929,1.919,2.714,#5184,1.717,2.429
#5395,1.650,2.333,n/a,n/a,n/a,#4943,1.717,2.429,#5661,1.515,2.143,#5184,1.717,2.429
#5395,1.650,2.333,n/a,n/a,n/a,#5595,1.414,2.000,#5808,1.414,2.000,#4320,2.121,3.000
#5395,1.650,2.333,n/a,n/a,n/a,#5176,1.616,2.286,#4929,1.919,2.714,#5741,1.414,2.000
#5395,1.650,2.333,n/a,n/a,n/a,#5176,1.616,2.286,#5323,1.717,2.429,#5402,1.616,2.286
#5395,1.650,2.333,n/a,n/a,n/a,#4720,1.818,2.571,#5323,1.717,2.429,#5741,1.414,2.000
#5395,1.650,2.333,n/a,n/a,n/a,#4943,1.717,2.429,#5661,1.515,2.143,#5184,1.717,2.429
#5395,1.650,2.333,n/a,n/a,n/a,#5176,1.616,2.286,#5323,1.717,2.429,#5402,1.616,2.286
#5395,1.650,2.333,n/a,n/a,n/a,#5595,1.414,2.000,#5500,1.616,2.286,#4796,1.919,2.714
#5406,1.648,1.648,n/a,n/a,n/a,#5242,1.611,1.611,#5555,1.611,1.611,#5181,1.722,1.722
#5406,1.648,1.648,n/a,n/a,n/a,#5488,1.444,1.444,#5322,1.722,1.722,#5073,1.778,1.778
#5408,1.646,1.778,n/a,n/a,n/a,#5644,1.389,1.500,#5109,1.852,2.000,#5263,1.697,1.833
#5408,1.646,1.778,n/a,n/a,n/a,#5470,1.466,1.583,#5393,1.697,1.833,#5080,1.774,1.917
#5410,1.646,1.646,n/a,n/a,n/a,#5490,1.438,1.438,#5417,1.688,1.688,#5024,1.813,1.813
#5411,1.639,1.848,n/a,n/a,n/a,#5315,1.531,1.727,#5099,1.853,2.091,#5517,1.531,1.727
#5412,1.639,1.848,n/a,n/a,n/a,#5786,1.289,1.455,#5549,1.612,1.818,#4606,2.015,2.273
#5413,1.638,2.167,n/a,n/a,n/a,#4554,1.890,2.500,#5797,1.417,1.875,#5463,1.606,2.125
#5413,1.638,2.167,n/a,n/a,n/a,#5243,1.606,2.125,#5557,1.606,2.125,#5244,1.701,2.250
#5415,1.638,2.167,n/a,n/a,n/a,#4055,2.079,2.750,#5797,1.417,1.875,#5732,1.417,1.875
#5415,1.638,2.167,n/a,n/a,n/a,#5574,1.417,1.875,#5377,1.701,2.250,#5030,1.795,2.375
#5415,1.638,2.167,n/a,n/a,n/a,#5443,1.512,2.000,#4991,1.890,2.500,#5632,1.512,2.000
#5415,1.638,2.167,n/a,n/a,n/a,#4330,1.984,2.625,#5797,1.417,1.875,#5632,1.512,2.000
#5419,1.637,2.500,n/a,n/a,n/a,#4866,1.746,2.667,#5430,1.637,2.500,#5527,1.528,2.333
#5419,1.637,2.500,n/a,n/a,n/a,#4624,1.855,2.833,#5430,1.637,2.500,#5691,1.418,2.167
#5419,1.637,2.500,n/a,n/a,n/a,#5326,1.528,2.333,#5248,1.746,2.667,#5308,1.637,2.500
#5419,1.637,2.500,n/a,n/a,n/a,#5731,1.309,2.000,#6036,1.091,1.667,#3450,2.510,3.833
#5419,1.637,2.500,n/a,n/a,n/a,#5511,1.418,2.167,#5430,1.637,2.500,#4895,1.855,2.833
#5419,1.637,2.500,n/a,n/a,n/a,#4354,1.964,3.000,#5898,1.309,2.000,#5308,1.637,2.500
#5419,1.637,2.500,n/a,n/a,n/a,#4354,1.964,3.000,#5430,1.637,2.500,#5842,1.309,2.000
#5419,1.637,2.500,n/a,n/a,n/a,#5326,1.528,2.333,#4798,1.964,3.000,#5691,1.418,2.167
#5419,1.637,2.500,n/a,n/a,n/a,#5511,1.418,2.167,#5248,1.746,2.667,#5106,1.746,2.667
#5419,1.637,2.500,n/a,n/a,n/a,#5100,1.637,2.500,#5608,1.528,2.333,#5106,1.746,2.667
#5419,1.637,2.500,n/a,n/a,n/a,#5731,1.309,2.000,#4578,2.073,3.167,#5527,1.528,2.333
#5419,1.637,2.500,n/a,n/a,n/a,#4866,1.746,2.667,#5030,1.855,2.833,#5842,1.309,2.000
#5419,1.637,2.500,n/a,n/a,n/a,#5326,1.528,2.333,#5248,1.746,2.667,#5308,1.637,2.500
#5419,1.637,2.500,n/a,n/a,n/a,#5511,1.418,2.167,#5030,1.855,2.833,#5308,1.637,2.500
#5419,1.637,2.500,n/a,n/a,n/a,#5511,1.418,2.167,#4798,1.964,3.000,#5527,1.528,2.333
#5419,1.637,2.500,n/a,n/a,n/a,#5511,1.418,2.167,#5747,1.418,2.167,#4458,2.073,3.167
#5419,1.637,2.500,n/a,n/a,n/a,#4866,1.746,2.667,#5430,1.637,2.500,#5527,1.528,2.333
#5419,1.637,2.500,n/a,n/a,n/a,#5511,1.418,2.167,#4798,1.964,3.000,#5527,1.528,2.333
#5419,1.637,2.500,n/a,n/a,n/a,#5511,1.418,2.167,#5248,1.746,2.667,#5106,1.746,2.667
#5419,1.637,2.500,n/a,n/a,n/a,#5326,1.528,2.333,#5898,1.309,2.000,#4458,2.073,3.167
#5419,1.637,2.500,n/a,n/a,n/a,#5100,1.637,2.500,#5608,1.528,2.333,#5106,1.746,2.667
#5419,1.637,2.500,n/a,n/a,n/a,#5326,1.528,2.333,#5747,1.418,2.167,#4677,1.964,3.000
#5419,1.637,2.500,n/a,n/a,n/a,#5326,1.528,2.333,#5430,1.637,2.500,#5106,1.746,2.667
#5419,1.637,2.500,n/a,n/a,n/a,#5100,1.637,2.500,#5430,1.637,2.500,#5308,1.637,2.500
#5419,1.637,2.500,n/a,n/a,n/a,#5326,1.528,2.333,#5430,1.637,2.500,#5106,1.746,2.667
#5419,1.637,2.500,n/a,n/a,n/a,#5847,1.200,1.833,#5030,1.855,2.833,#4895,1.855,2.833
#5419,1.637,2.500,n/a,n/a,n/a,#5511,1.418,2.167,#5608,1.528,2.333,#4677,1.964,3.000
#5419,1.637,2.500,n/a,n/a,n/a,#5100,1.637,2.500,#5248,1.746,2.667,#5527,1.528,2.333
#5419,1.637,2.500,n/a,n/a,n/a,#5511,1.418,2.167,#5747,1.418,2.167,#4458,2.073,3.167
#5419,1.637,2.500,n/a,n/a,n/a,#5731,1.309,2.000,#4578,2.073,3.167,#5527,1.528,2.333
#5450,1.634,1.933,n/a,n/a,n/a,#5266,1.606,1.900,#5656,1.521,1.800,#5075,1.775,2.100
#5451,1.634,1.933,n/a,n/a,n/a,#5492,1.437,1.700,#5572,1.606,1.900,#4889,1.859,2.200
#5452,1.633,2.733,n/a,n/a,n/a,#5496,1.434,2.400,#5206,1.793,3.000,#5295,1.673,2.800
#5453,1.633,2.037,n/a,n/a,n/a,#5662,1.336,1.667,#5219,1.782,2.222,#5059,1.782,2.222
#5454,1.631,1.692,n/a,n/a,n/a,#5291,1.557,1.615,#5105,1.853,1.923,#5653,1.482,1.538
#5456,1.625,1.625,n/a,n/a,n/a,#6001,1.063,1.063,#5184,1.813,1.813,#4625,2.000,2.000
#5457,1.622,1.622,n/a,n/a,n/a,#5280,1.600,1.600,#5022,1.867,1.867,#5781,1.400,1.400
#5458,1.620,1.750,n/a,n/a,n/a,#5470,1.466,1.583,#4916,1.929,2.083,#5660,1.466,1.583
#5459,1.616,2.286,n/a,n/a,n/a,#4720,1.818,2.571,#5661,1.515,2.143,#5584,1.515,2.143
#5459,1.616,2.286,n/a,n/a,n/a,#5392,1.515,2.143,#5123,1.818,2.571,#5584,1.515,2.143
#5459,1.616,2.286,n/a,n/a,n/a,#5686,1.313,1.857,#4688,2.020,2.857,#5584,1.515,2.143
#5462,1.616,2.286,n/a,n/a,n/a,#4943,1.717,2.429,#5123,1.818,2.571,#5815,1.313,1.857
#5462,1.616,2.286,n/a,n/a,n/a,#5176,1.616,2.286,#5500,1.616,2.286,#5402,1.616,2.286
#5462,1.616,2.286,n/a,n/a,n/a,#4493,1.919,2.714,#5808,1.414,2.000,#5584,1.515,2.143
#5462,1.616,2.286,n/a,n/a,n/a,#5176,1.616,2.286,#5323,1.717,2.429,#5584,1.515,2.143
#5462,1.616,2.286,n/a,n/a,n/a,#5595,1.414,2.000,#5500,1.616,2.286,#4967,1.818,2.571
#5462,1.616,2.286,n/a,n/a,n/a,#5811,1.212,1.714,#5661,1.515,2.143,#4320,2.121,3.000
#5462,1.616,2.286,n/a,n/a,n/a,#5176,1.616,2.286,#5323,1.717,2.429,#5584,1.515,2.143
#5462,1.616,2.286,n/a,n/a,n/a,#5392,1.515,2.143,#5323,1.717,2.429,#5402,1.616,2.286
#5462,1.616,2.286,n/a,n/a,n/a,#5811,1.212,1.714,#5323,1.717,2.429,#4796,1.919,2.714
#5462,1.616,2.286,n/a,n/a,n/a,#5176,1.616,2.286,#5500,1.616,2.286,#5402,1.616,2.286
#5462,1.616,2.286,n/a,n/a,n/a,#5392,1.515,2.143,#5323,1.717,2.429,#5402,1.616,2.286
#5462,1.616,2.286,n/a,n/a,n/a,#5392,1.515,2.143,#4929,1.919,2.714,#5741,1.414,2.000
#5462,1.616,2.286,n/a,n/a,n/a,#5595,1.414,2.000,#5500,1.616,2.286,#4967,1.818,2.571
#5462,1.616,2.286,n/a,n/a,n/a,#5176,1.616,2.286,#5500,1.616,2.286,#5402,1.616,2.286
#5462,1.616,2.286,n/a,n/a,n/a,#5176,1.616,2.286,#4688,2.020,2.857,#5903,1.212,1.714
#5462,1.616,2.286,n/a,n/a,n/a,#5811,1.212,1.714,#5500,1.616,2.286,#4561,2.020,2.857
#5478,1.612,1.818,n/a,n/a,n/a,#5315,1.531,1.727,#5235,1.773,2.000,#5517,1.531,1.727
#5478,1.612,1.818,n/a,n/a,n/a,#5315,1.531,1.727,#5409,1.692,1.909,#5455,1.612,1.818
#5478,1.612,1.818,n/a,n/a,n/a,#5481,1.450,1.636,#5409,1.692,1.909,#5285,1.692,1.909
#5481,1.611,1.611,n/a,n/a,n/a,#5457,1.500,1.500,#5119,1.833,1.833,#5651,1.500,1.500
#5482,1.608,1.608,n/a,n/a,n/a,#5325,1.529,1.529,#5013,1.882,1.882,#5777,1.412,1.412
#5483,1.606,2.125,n/a,n/a,n/a,#5243,1.606,2.125,#5377,1.701,2.250,#5632,1.512,2.000
#5483,1.606,2.125,n/a,n/a,n/a,#5243,1.606,2.125,#5703,1.512,2.000,#5244,1.701,2.250
#5483,1.606,2.125,n/a,n/a,n/a,#5574,1.417,1.875,#4554,2.079,2.750,#5796,1.323,1.750
#5483,1.606,2.125,n/a,n/a,n/a,#5574,1.417,1.875,#5188,1.795,2.375,#5463,1.606,2.125
#5483,1.606,2.125,n/a,n/a,n/a,#5574,1.417,1.875,#5377,1.701,2.250,#5244,1.701,2.250
#5483,1.606,2.125,n/a,n/a,n/a,#5668,1.323,1.750,#4771,1.984,2.625,#5632,1.512,2.000
#5483,1.606,2.125,n/a,n/a,n/a,#5668,1.323,1.750,#4991,1.890,2.500,#5463,1.606,2.125
#5483,1.606,2.125,n/a,n/a,n/a,#5243,1.606,2.125,#5557,1.606,2.125,#5463,1.606,2.125
#5491,1.606,1.667,n/a,n/a,n/a,#5635,1.408,1.462,#5224,1.779,1.846,#5390,1.631,1.692
#5492,1.606,1.667,n/a,n/a,n/a,#5006,1.705,1.769,#5584,1.557,1.615,#5495,1.557,1.615
#5493,1.604,2.000,n/a,n/a,n/a,#4820,1.782,2.222,#5847,1.336,1.667,#5274,1.693,2.111
#5493,1.604,2.000,n/a,n/a,n/a,#5662,1.336,1.667,#4868,1.960,2.444,#5628,1.514,1.889
#5493,1.604,3.000,n/a,n/a,n/a,#5271,1.604,3.000,#5577,1.604,3.000,#5482,1.604,3.000
#5496,1.600,2.444,n/a,n/a,n/a,#5731,1.309,2.000,#5747,1.418,2.167,#4458,2.073,3.167
#5496,1.600,2.444,n/a,n/a,n/a,#5847,1.200,1.833,#5747,1.418,2.167,#4185,2.182,3.333
#5496,1.600,2.444,n/a,n/a,n/a,#5731,1.309,2.000,#4578,2.073,3.167,#5691,1.418,2.167
#5496,1.600,2.444,n/a,n/a,n/a,#5326,1.528,2.333,#5747,1.418,2.167,#4895,1.855,2.833
#5496,1.600,2.444,n/a,n/a,n/a,#5326,1.528,2.333,#5608,1.528,2.333,#5106,1.746,2.667
#5496,1.600,2.444,n/a,n/a,n/a,#5326,1.528,2.333,#5747,1.418,2.167,#4895,1.855,2.833
#5496,1.600,2.444,n/a,n/a,n/a,#5847,1.200,1.833,#4798,1.964,3.000,#5308,1.637,2.500
#5496,1.600,2.444,n/a,n/a,n/a,#5511,1.418,2.167,#5430,1.637,2.500,#5106,1.746,2.667
#5496,1.600,2.444,n/a,n/a,n/a,#5511,1.418,2.167,#5248,1.746,2.667,#5308,1.637,2.500
#5496,1.600,2.444,n/a,n/a,n/a,#4866,1.746,2.667,#5747,1.418,2.167,#5308,1.637,2.500
#5496,1.600,2.444,n/a,n/a,n/a,#4866,1.746,2.667,#5430,1.637,2.500,#5691,1.418,2.167
#5496,1.600,2.444,n/a,n/a,n/a,#5326,1.528,2.333,#5430,1.637,2.500,#5308,1.637,2.500
#5496,1.600,2.444,n/a,n/a,n/a,#4866,1.746,2.667,#5030,1.855,2.833,#5929,1.200,1.833
#5496,1.600,2.444,n/a,n/a,n/a,#5100,1.637,2.500,#5248,1.746,2.667,#5691,1.418,2.167
#5496,1.600,2.444,n/a,n/a,n/a,#5511,1.418,2.167,#5430,1.637,2.500,#5106,1.746,2.667
#5496,1.600,2.444,n/a,n/a,n/a,#5326,1.528,2.333,#5030,1.855,2.833,#5691,1.418,2.167
#5496,1.600,2.444,n/a,n/a,n/a,#5100,1.637,2.500,#5248,1.746,2.667,#5691,1.418,2.167
#5496,1.600,2.444,n/a,n/a,n/a,#5326,1.528,2.333,#5030,1.855,2.833,#5691,1.418,2.167
#5515,1.600,2.444,n/a,n/a,n/a,#5511,1.418,2.167,#4578,2.073,3.167,#5842,1.309,2.000
#5515,1.600,2.444,n/a,n/a,n/a,#5326,1.528,2.333,#5248,1.746,2.667,#5527,1.528,2.333
#5515,1.600,2.444,n/a,n/a,n/a,#4354,1.964,3.000,#5608,1.528,2.333,#5842,1.309,2.000
#5515,1.600,2.444,n/a,n/a,n/a,#4866,1.746,2.667,#5608,1.528,2.333,#5527,1.528,2.333
#5515,1.600,2.444,n/a,n/a,n/a,#4866,1.746,2.667,#5608,1.528,2.333,#5527,1.528,2.333
#5520,1.595,1.595,n/a,n/a,n/a,#5787,1.286,1.286,#5217,1.786,1.786,#5236,1.714,1.714
#5521,1.594,1.722,n/a,n/a,n/a,#5644,1.389,1.500,#5109,1.852,2.000,#5505,1.543,1.667
#5521,1.594,1.722,n/a,n/a,n/a,#5726,1.312,1.417,#4208,2.237,2.417,#5898,1.234,1.333
#5523,1.594,2.667,n/a,n/a,n/a,#5295,1.554,2.600,#5420,1.673,2.800,#5497,1.554,2.600
#5523,1.594,2.667,n/a,n/a,n/a,#5295,1.554,2.600,#5206,1.793,3.000,#5677,1.434,2.400
#5523,1.594,2.667,n/a,n/a,n/a,#5080,1.673,2.800,#5589,1.554,2.600,#5497,1.554,2.600
#5526,1.585,1.788,n/a,n/a,n/a,#5237,1.612,1.818,#5549,1.612,1.818,#5517,1.531,1.727
#5526,1.585,1.788,n/a,n/a,n/a,#5315,1.531,1.727,#5728,1.450,1.636,#5088,1.773,2.000
#5526,1.585,1.788,n/a,n/a,n/a,#5315,1.531,1.727,#5409,1.692,1.909,#5517,1.531,1.727
#5526,1.585,1.788,n/a,n/a,n/a,#5481,1.450,1.636,#5409,1.692,1.909,#5455,1.612,1.818
#5530,1.583,2.238,n/a,n/a,n/a,#5176,1.616,2.286,#5869,1.313,1.857,#4967,1.818,2.571
#5530,1.583,2.238,n/a,n/a,n/a,#5392,1.515,2.143,#5123,1.818,2.571,#5741,1.414,2.000
#5530,1.583,2.238,n/a,n/a,n/a,#4943,1.717,2.429,#5808,1.414,2.000,#5402,1.616,2.286
#5530,1.583,2.238,n/a,n/a,n/a,#5686,1.313,1.857,#4688,2.020,2.857,#5741,1.414,2.000
#5530,1.583,2.238,n/a,n/a,n/a,#5392,1.515,2.143,#5500,1.616,2.286,#5402,1.616,2.286
#5530,1.583,2.238,n/a,n/a,n/a,#5595,1.414,2.000,#5323,1.717,2.429,#5402,1.616,2.286
#5530,1.583,2.238,n/a,n/a,n/a,#5176,1.616,2.286,#5661,1.515,2.143,#5402,1.616,2.286
#5530,1.583,2.238,n/a,n/a,n/a,#5686,1.313,1.857,#5500,1.616,2.286,#4967,1.818,2.571
#5530,1.583,2.238,n/a,n/a,n/a,#5595,1.414,2.000,#5661,1.515,2.143,#4967,1.818,2.571
#5530,1.583,2.238,n/a,n/a,n/a,#5176,1.616,2.286,#5123,1.818,2.571,#5815,1.313,1.857
#5530,1.583,2.238,n/a,n/a,n/a,#5811,1.212,1.714,#4929,1.919,2.714,#5402,1.616,2.286
#5530,1.583,2.238,n/a,n/a,n/a,#5176,1.616,2.286,#5500,1.616,2.286,#5584,1.515,2.143
#5530,1.583,2.238,n/a,n/a,n/a,#5811,1.212,1.714,#5500,1.616,2.286,#4796,1.919,2.714
#5543,1.583,2.238,n/a,n/a,n/a,#4943,1.717,2.429,#5500,1.616,2.286,#5741,1.414,2.000
#5544,1.578,1.578,n/a,n/a,n/a,#5467,1.467,1.467,#5320,1.733,1.733,#5515,1.533,1.533
#5545,1.578,1.578,n/a,n/a,n/a,#5637,1.400,1.400,#4912,1.933,1.933,#5781,1.400,1.400
#5546,1.578,1.867,n/a,n/a,n/a,#5068,1.690,2.000,#5844,1.352,1.600,#5289,1.690,2.000
#5547,1.575,2.083,n/a,n/a,n/a,#5243,1.606,2.125,#5557,1.606,2.125,#5632,1.512,2.000
#5547,1.575,2.083,n/a,n/a,n/a,#5668,1.323,1.750,#4991,1.890,2.500,#5632,1.512,2.000
#5547,1.575,2.083,n/a,n/a,n/a,#5574,1.417,1.875,#4991,1.890,2.500,#5732,1.417,1.875
#5547,1.575,2.083,n/a,n/a,n/a,#5243,1.606,2.125,#5557,1.606,2.125,#5632,1.512,2.000
#5547,1.575,2.083,n/a,n/a,n/a,#5243,1.606,2.125,#5797,1.417,1.875,#5244,1.701,2.250
#5552,1.575,2.083,n/a,n/a,n/a,#5443,1.512,2.000,#5703,1.512,2.000,#5244,1.701,2.250
#5552,1.575,2.083,n/a,n/a,n/a,#5574,1.417,1.875,#5188,1.795,2.375,#5632,1.512,2.000
#5554,1.571,1.571,n/a,n/a,n/a,#5787,1.286,1.286,#5741,1.429,1.429,#4625,2.000,2.000
#5555,1.569,1.694,n/a,n/a,n/a,#5304,1.543,1.667,#5109,1.852,2.000,#5836,1.312,1.417
#5555,1.569,1.694,n/a,n/a,n/a,#5906,1.157,1.250,#5598,1.543,1.667,#4612,2.006,2.167
#5557,1.564,2.389,n/a,n/a,n/a,#5100,1.637,2.500,#5430,1.637,2.500,#5691,1.418,2.167
#5557,1.564,2.389,n/a,n/a,n/a,#5847,1.200,1.833,#4798,1.964,3.000,#5527,1.528,2.333
#5557,1.564,2.389,n/a,n/a,n/a,#5326,1.528,2.333,#5430,1.637,2.500,#5527,1.528,2.333
#5557,1.564,2.389,n/a,n/a,n/a,#5326,1.528,2.333,#5608,1.528,2.333,#5308,1.637,2.500
#5557,1.564,2.389,n/a,n/a,n/a,#6135,0.655,1.000,#4798,1.964,3.000,#4458,2.073,3.167
#5557,1.564,2.389,n/a,n/a,n/a,#5100,1.637,2.500,#5430,1.637,2.500,#5691,1.418,2.167
#5557,1.564,2.389,n/a,n/a,n/a,#5731,1.309,2.000,#5248,1.746,2.667,#5308,1.637,2.500
#5557,1.564,2.389,n/a,n/a,n/a,#5847,1.200,1.833,#5030,1.855,2.833,#5308,1.637,2.500
#5557,1.564,2.389,n/a,n/a,n/a,#5100,1.637,2.500,#5248,1.746,2.667,#5842,1.309,2.000
#5557,1.564,2.389,n/a,n/a,n/a,#5511,1.418,2.167,#5430,1.637,2.500,#5308,1.637,2.500
#5557,1.564,2.389,n/a,n/a,n/a,#5511,1.418,2.167,#5430,1.637,2.500,#5308,1.637,2.500
#5557,1.564,2.389,n/a,n/a,n/a,#5847,1.200,1.833,#5248,1.746,2.667,#5106,1.746,2.667
#5557,1.564,2.389,n/a,n/a,n/a,#5847,1.200,1.833,#5030,1.855,2.833,#5308,1.637,2.500
#5557,1.564,2.389,n/a,n/a,n/a,#5947,1.091,1.667,#4578,2.073,3.167,#5527,1.528,2.333
#5557,1.564,2.389,n/a,n/a,n/a,#5326,1.528,2.333,#5248,1.746,2.667,#5691,1.418,2.167
#5557,1.564,2.389,n/a,n/a,n/a,#4866,1.746,2.667,#5430,1.637,2.500,#5842,1.309,2.000
#5557,1.564,2.389,n/a,n/a,n/a,#5326,1.528,2.333,#5608,1.528,2.333,#5308,1.637,2.500
#5557,1.564,2.389,n/a,n/a,n/a,#5100,1.637,2.500,#5430,1.637,2.500,#5691,1.418,2.167
#5557,1.564,2.389,n/a,n/a,n/a,#5326,1.528,2.333,#5248,1.746,2.667,#5691,1.418,2.167
#5557,1.564,2.389,n/a,n/a,n/a,#5100,1.637,2.500,#5608,1.528,2.333,#5527,1.528,2.333
#5557,1.564,2.389,n/a,n/a,n/a,#5326,1.528,2.333,#5608,1.528,2.333,#5308,1.637,2.500
#5557,1.564,2.389,n/a,n/a,n/a,#5511,1.418,2.167,#5030,1.855,2.833,#5691,1.418,2.167
#5580,1.558,1.758,n/a,n/a,n/a,#5315,1.531,1.727,#5549,1.612,1.818,#5517,1.531,1.727
#5581,1.558,1.758,n/a,n/a,n/a,#4851,1.773,2.000,#5841,1.370,1.545,#5517,1.531,1.727
#5582,1.557,1.615,n/a,n/a,n/a,#5161,1.631,1.692,#5721,1.482,1.538,#5495,1.557,1.615
#5583,1.556,1.556,n/a,n/a,n/a,#5643,1.389,1.389,#5425,1.667,1.667,#5461,1.611,1.611
#5584,1.554,2.600,n/a,n/a,n/a,#5295,1.554,2.600,#5589,1.554,2.600,#5497,1.554,2.600
#5585,1.552,1.552,n/a,n/a,n/a,#5637,1.400,1.400,#5868,1.314,1.314,#4764,1.943,1.943
#5586,1.551,1.551,n/a,n/a,n/a,#5508,1.423,1.423,#5408,1.692,1.692,#5514,1.538,1.538
