overall_rank,overall_score,overall_raw_score,game_design_rank,game_design_score,game_design_raw_score,innovation_rank,innovation_score,innovation_raw_score,theme_rank,theme_score,theme_raw_score,fun_rank,fun_score,fun_raw_score,audio_rank,audio_score,audio_raw_score,graphics_rank,graphics_score,graphics_raw_score
#120,3.009,3.009,#90,3.222,3.222,#44,3.500,3.500,#195,2.833,2.833,#107,3.000,3.000,#230,1.889,1.889,#79,3.611,3.611
#121,3.000,3.000,#154,2.867,2.867,#113,3.000,3.000,#239,2.400,2.400,#141,2.867,2.867,#56,3.400,3.400,#90,3.467,3.467
#122,2.988,2.988,#57,3.500,3.500,#72,3.286,3.286,#105,3.357,3.357,#71,3.357,3.357,#183,2.286,2.286,#243,2.143,2.143
#123,2.983,2.983,#179,2.700,2.700,#132,2.900,2.900,#90,3.400,3.400,#133,2.900,2.900,#95,3.000,3.000,#150,3.000,3.000
#124,2.983,3.222,#134,2.932,3.167,#126,2.932,3.167,#136,3.086,3.333,#39,3.549,3.833,#142,2.623,2.833,#167,2.777,3.000
#125,2.981,2.981,#120,3.056,3.056,#156,2.722,2.722,#122,3.222,3.222,#186,2.611,2.611,#130,2.722,2.722,#85,3.556,3.556
#126,2.979,2.979,#147,2.875,2.875,#242,2.125,2.125,#58,3.625,3.625,#107,3.000,3.000,#35,3.625,3.625,#181,2.625,2.625
#127,2.976,2.976,#174,2.714,2.714,#157,2.714,2.714,#127,3.143,3.143,#142,2.857,2.857,#77,3.143,3.143,#109,3.286,3.286
#128,2.958,2.958,#122,3.000,3.000,#44,3.500,3.500,#77,3.500,3.500,#97,3.125,3.125,#231,1.875,1.875,#172,2.750,2.750
#129,2.958,2.958,#147,2.875,2.875,#187,2.500,2.500,#58,3.625,3.625,#161,2.750,2.750,#81,3.125,3.125,#160,2.875,2.875
#130,2.957,3.194,#186,2.623,2.833,#151,2.777,3.000,#165,2.932,3.167,#100,3.086,3.333,#67,3.240,3.500,#138,3.086,3.333
#131,2.957,3.194,#134,2.932,3.167,#213,2.315,2.500,#165,2.932,3.167,#63,3.395,3.667,#107,2.932,3.167,#115,3.240,3.500
#131,2.957,3.194,#134,2.932,3.167,#16,3.858,4.167,#71,3.549,3.833,#197,2.469,2.667,#290,1.234,1.333,#67,3.703,4.000
#133,2.957,3.194,#117,3.086,3.333,#101,3.086,3.333,#93,3.395,3.667,#121,2.932,3.167,#205,2.160,2.333,#138,3.086,3.333
#134,2.952,2.952,#174,2.714,2.714,#90,3.143,3.143,#202,2.714,2.714,#204,2.429,2.429,#95,3.000,3.000,#62,3.714,3.714
#135,2.944,2.944,#114,3.095,3.095,#147,2.810,2.810,#125,3.190,3.190,#142,2.857,2.857,#154,2.524,2.524,#123,3.190,3.190
#136,2.932,3.167,#134,2.932,3.167,#151,2.777,3.000,#136,3.086,3.333,#121,2.932,3.167,#157,2.469,2.667,#101,3.395,3.667
#137,2.930,3.467,#150,2.874,3.400,#227,2.197,2.600,#32,3.888,4.600,#252,2.028,2.400,#92,3.043,3.600,#86,3.550,4.200
#138,2.926,2.926,#90,3.222,3.222,#179,2.556,2.556,#174,2.889,2.889,#202,2.444,2.444,#119,2.778,2.778,#72,3.667,3.667
#139,2.906,3.139,#134,2.932,3.167,#101,3.086,3.333,#198,2.777,3.000,#121,2.932,3.167,#142,2.623,2.833,#138,3.086,3.333
#140,2.906,3.139,#166,2.777,3.000,#192,2.469,2.667,#93,3.395,3.667,#121,2.932,3.167,#84,3.086,3.333,#167,2.777,3.000
#141,2.905,2.905,#102,3.143,3.143,#238,2.143,2.143,#112,3.286,3.286,#142,2.857,2.857,#207,2.143,2.143,#48,3.857,3.857
#142,2.900,2.900,#67,3.400,3.400,#85,3.200,3.200,#172,2.900,2.900,#86,3.200,3.200,#182,2.300,2.300,#212,2.400,2.400
#143,2.892,2.892,#171,2.750,2.750,#123,2.950,2.950,#133,3.100,3.100,#201,2.450,2.450,#104,2.950,2.950,#130,3.150,3.150
#144,2.889,2.889,#195,2.556,2.556,#149,2.778,2.778,#223,2.556,2.556,#202,2.444,2.444,#109,2.889,2.889,#30,4.111,4.111
#145,2.884,2.884,#133,2.957,2.957,#224,2.261,2.261,#144,3.043,3.043,#140,2.870,2.870,#91,3.043,3.043,#135,3.130,3.130
#146,2.880,3.111,#134,2.932,3.167,#126,2.932,3.167,#93,3.395,3.667,#121,2.932,3.167,#177,2.315,2.500,#167,2.777,3.000
#147,2.875,2.875,#101,3.150,3.150,#187,2.500,2.500,#90,3.400,3.400,#107,3.000,3.000,#124,2.750,2.750,#204,2.450,2.450
#147,2.875,2.875,#122,3.000,3.000,#170,2.625,2.625,#153,3.000,3.000,#182,2.625,2.625,#141,2.625,2.625,#105,3.375,3.375
#149,2.874,3.400,#92,3.212,3.800,#109,3.043,3.600,#45,3.719,4.400,#171,2.704,3.200,#192,2.197,2.600,#217,2.366,2.800
#150,2.874,3.400,#92,3.212,3.800,#160,2.704,3.200,#178,2.874,3.400,#67,3.381,4.000,#249,1.690,2.000,#103,3.381,4.000
#151,2.872,2.872,#168,2.769,2.769,#164,2.692,2.692,#82,3.462,3.462,#191,2.538,2.538,#146,2.615,2.615,#128,3.154,3.154
#152,2.861,2.861,#76,3.333,3.333,#18,3.833,3.833,#106,3.333,3.333,#101,3.083,3.083,#299,1.083,1.083,#198,2.500,2.500
