wowie_rank,wowie_score,wowie_raw_score,topic_rank,topic_score,topic_raw_score,fun_rank,fun_score,fun_raw_score,simplicity_rank,simplicity_score,simplicity_raw_score,sound_rank,sound_score,sound_raw_score,visuals_rank,visuals_score,visuals_raw_score,creativity_rank,creativity_score,creativity_raw_score
#115,3.667,3.667,#175,3.750,3.750,#208,3.500,3.500,#349,3.667,3.667,#298,3.167,3.167,#213,3.667,3.667,#167,3.750,3.750
#115,3.667,3.667,#138,3.833,3.833,#186,3.556,3.556,#223,3.889,3.889,#381,3.000,3.000,#433,3.111,3.111,#106,3.889,3.889
#115,3.667,3.667,#218,3.636,3.636,#143,3.667,3.667,#139,4.030,4.030,#109,3.636,3.636,#77,4.091,4.091,#439,3.121,3.121
#115,3.667,3.667,#37,4.148,4.148,#203,3.519,3.519,#53,4.222,4.222,#160,3.481,3.481,#182,3.741,3.741,#198,3.667,3.667
#115,3.667,3.667,#116,3.875,3.875,#92,3.813,3.813,#15,4.396,4.396,#321,3.125,3.125,#140,3.875,3.875,#95,3.917,3.917
#115,3.667,3.667,#91,3.947,3.947,#101,3.789,3.789,#98,4.105,4.105,#200,3.368,3.368,#312,3.421,3.421,#105,3.895,3.895
#115,3.667,3.667,#204,3.667,3.667,#323,3.267,3.267,#799,2.667,2.667,#165,3.467,3.467,#10,4.600,4.600,#251,3.533,3.533
#115,3.667,3.667,#25,4.238,4.238,#32,4.048,4.048,#212,3.905,3.905,#341,3.095,3.095,#93,4.000,4.000,#144,3.810,3.810
#115,3.667,3.667,#175,3.750,3.750,#170,3.583,3.583,#291,3.750,3.750,#148,3.500,3.500,#124,3.917,3.917,#343,3.333,3.333
#115,3.667,3.667,#235,3.600,3.600,#231,3.467,3.467,#192,3.933,3.933,#219,3.333,3.333,#348,3.333,3.333,#277,3.467,3.467
#115,3.667,3.667,#70,4.000,4.000,#128,3.704,3.704,#41,4.259,4.259,#111,3.630,3.630,#318,3.407,3.407,#26,4.222,4.222
#115,3.667,3.667,#375,3.238,3.238,#306,3.286,3.286,#413,3.524,3.524,#25,4.048,4.048,#23,4.476,4.476,#270,3.476,3.476
#115,3.667,3.667,#99,3.917,3.917,#208,3.500,3.500,#110,4.083,4.083,#28,4.000,4.000,#213,3.667,3.667,#417,3.167,3.167
#115,3.667,3.667,#268,3.520,3.520,#103,3.775,3.775,#121,4.069,4.069,#97,3.676,3.676,#241,3.598,3.598,#232,3.598,3.598
#115,3.667,3.667,#31,4.200,4.200,#114,3.733,3.733,#230,3.867,3.867,#219,3.333,3.333,#456,3.067,3.067,#308,3.400,3.400
